timestamp,dsapi-thick-gusty-rest-Newcastle.NewcastleEnergyCentreB001.E1_01_MS1.VoltageCN
2022-02-28T01:18:36.249Z,236
2022-02-28T01:23:36.238Z,236
2022-02-28T01:28:36.184Z,236
2022-02-28T01:33:36.257Z,235
2022-02-28T01:38:36.245Z,236
2022-02-28T01:43:36.220Z,236
2022-02-28T01:48:36.266Z,237
2022-02-28T01:53:36.268Z,237
2022-02-28T01:57:41.916Z,237
2022-02-28T01:58:36.697Z,237
2022-02-28T02:03:36.280Z,237
2022-02-28T02:08:36.175Z,238
2022-02-28T02:13:36.863Z,236
2022-02-28T02:18:36.337Z,236
2022-02-28T02:23:36.235Z,236
2022-02-28T02:28:37.040Z,236
2022-02-28T02:33:36.343Z,237
2022-02-28T02:38:36.304Z,236
2022-02-28T02:43:36.883Z,235
2022-02-28T02:48:36.201Z,236
2022-02-28T02:53:36.169Z,236
2022-02-28T02:58:36.849Z,236
2022-02-28T03:03:36.228Z,236
2022-02-28T03:08:36.280Z,235
2022-02-28T03:13:36.924Z,236
2022-02-28T03:18:36.241Z,236
2022-02-28T03:23:36.197Z,236
2022-02-28T03:28:36.897Z,236
2022-02-28T03:33:36.178Z,234
2022-02-28T03:38:36.233Z,234
2022-02-28T03:43:36.880Z,235
2022-02-28T03:48:36.237Z,235
2022-02-28T03:53:36.196Z,234
2022-02-28T03:58:36.885Z,236
2022-02-28T04:03:36.212Z,236
2022-02-28T04:08:36.294Z,236
2022-02-28T04:13:36.874Z,235
2022-02-28T04:18:36.267Z,236
2022-02-28T04:23:36.205Z,236
2022-02-28T04:28:36.950Z,235
2022-02-28T04:33:36.308Z,235
2022-02-28T04:38:36.220Z,235
2022-02-28T04:43:36.880Z,236
2022-02-28T04:48:36.236Z,236
2022-02-28T04:53:36.235Z,236
2022-02-28T04:58:36.840Z,236
2022-02-28T05:03:36.296Z,236
2022-02-28T05:08:36.195Z,237
2022-02-28T05:13:36.919Z,236
2022-02-28T05:18:36.237Z,238
2022-02-28T05:23:36.209Z,238
2022-02-28T05:28:36.831Z,238
2022-02-28T05:33:36.250Z,238
2022-02-28T05:38:36.407Z,236
2022-02-28T05:43:36.879Z,237
2022-02-28T05:48:36.198Z,236
2022-02-28T05:53:36.393Z,236
2022-02-28T05:58:36.860Z,236
2022-02-28T06:03:36.199Z,235
2022-02-28T06:08:36.280Z,235
2022-02-28T06:13:36.895Z,234
2022-02-28T06:18:36.247Z,236
2022-02-28T06:23:36.483Z,235
2022-02-28T06:28:36.203Z,236
2022-02-28T06:33:36.263Z,236
2022-02-28T06:39:06.251Z,236
2022-02-28T06:43:36.278Z,235
2022-02-28T06:48:36.238Z,234
2022-02-28T06:53:36.500Z,235
2022-02-28T06:58:36.922Z,235
2022-02-28T07:03:36.156Z,235
2022-02-28T07:08:36.183Z,235
2022-02-28T07:13:36.897Z,238
2022-02-28T07:18:36.220Z,238
2022-02-28T07:23:36.225Z,237
2022-02-28T07:28:36.885Z,237
2022-02-28T07:33:36.273Z,236
2022-02-28T07:38:36.226Z,236
2022-02-28T07:43:36.819Z,236
2022-02-28T07:48:36.241Z,237
2022-02-28T07:53:36.291Z,237
2022-02-28T07:58:36.161Z,237
